Date,MTUM,VTV,VEU,VWO,VCIT,VGLT,BNDX,VTIP,DBC,IAU,VNQ
2021-06-14 00:00:00,158.3788928222656,117.65846286773682,55.57670337677002,48.16679746627808,91.39127334594727,88.73007514953613,55.42340557098389,47.779153213500976,15.507500019073486,35.30745000839234,84.1781131362915
2021-06-15 00:00:00,158.47470100402833,117.82443351745606,55.64519351959228,48.21830018997193,91.3963516998291,88.67661262512208,55.422388553619385,47.78882734298706,15.53535002231598,35.30050001144409,84.2974147415161
2021-06-16 00:00:00,158.5652727508545,117.98178771972657,55.70887517929077,48.263664436340335,91.39806259155273,88.62285221099853,55.42117668151855,47.796918087005615,15.562200021743774,35.28730001449585,84.41089874267578
2021-06-17 00:00:00,158.63731651306153,118.13517322540284,55.774187870025635,48.315037117004394,91.39941547393799,88.57202732086182,55.42044466018677,47.80529109954834,15.586650023460388,35.268350009918215,84.5276946258545
2021-06-18 00:00:00,158.68913902282713,118.27578559875488,55.832953758239746,48.36015495300293,91.40099548339843,88.52352138519286,55.419059162139895,47.81352140426636,15.611950025558471,35.24815002441406,84.63570686340331
2021-06-21 00:00:00,158.74866882324218,118.41987365722656,55.89296922683716,48.40710502624512,91.40061206817627,88.46397979736328,55.41666910171509,47.82207681655884,15.639300026893615,35.23230003356934,84.74673442840576
2021-06-22 00:00:00,158.85274719238282,118.57373546600341,55.9579291343689,48.45668972015381,91.40138175964356,88.40387386322021,55.414422817230225,47.831701049804686,15.66740002155304,35.217450046539305,84.85984371185303
2021-06-23 00:00:00,158.97327438354492,118.72541118621827,56.021735649108884,48.508159465789795,91.40389362335205,88.35164794921874,55.41246139526367,47.84137199401855,15.696700019836426,35.20185005187988,84.9741003036499
2021-06-24 00:00:00,159.13487350463868,118.89117527008057,56.09188619613647,48.565465183258056,91.40703308105469,88.29736289978027,55.4102624130249,47.850948886871336,15.727950019836426,35.18660005569458,85.09197196960449
2021-06-25 00:00:00,159.2769581604004,119.05532791137695,56.15914175033569,48.62224807739258,91.40911651611329,88.24036251068115,55.40772560119629,47.8606198310852,15.7582000207901,35.170000057220456,85.2094483947754
2021-06-28 00:00:00,159.43315017700195,119.2238858795166,56.228207664489744,48.68279619216919,91.41221672058106,88.18511287689209,55.405718879699705,47.87029144287109,15.789050016403198,35.15410005569458,85.33015560150146
