Date,BNDX_1M,BNDX_3M,BNDX_6M,BNDX_12M,BNDX_avg,BNDX_rank
2018-03-29 00:00:00,0.0115137769940729,0.0083346301938274,0.0197467024945654,0.0338101646842645,0.0183513185916825,7
2018-04-30 00:00:00,-0.0018281754139153,0.01267055549264,0.0120024927779045,0.0272837621724555,0.0125321587572712,6
2018-05-31 00:00:00,-0.0023275940528217,0.0077203273285995,0.0072957843296055,0.0174726411359837,0.0075402896853417,7
2018-06-29 00:00:00,0.0060126971496987,0.0018362211354856,0.0105931767671407,0.0291076851231106,0.0118874450438589,5
2018-07-31 00:00:00,0.0014267065938675,0.0051030521665775,0.0178382661648752,0.0288896668351614,0.0133144229401204,5
2018-08-31 00:00:00,0.0005487540915192,0.0080008233004058,0.0157829196037817,0.019921532946505,0.0110635074855529,5
2018-09-28 00:00:00,-0.00235995146719,-0.0003883717096979,0.0014471362894463,0.0216338828644475,0.0050831739942514,5
2018-10-31 00:00:00,0.0007342226946649,-0.0010796004870895,0.004017942421882,0.016068660524688,0.0049353062885363,1
2018-11-30 00:00:00,0.0052133420276923,0.0035773960117924,0.011606841425565,0.018987306766959,0.0098462215580021,3
2018-12-31 00:00:00,0.011719545990978,0.017740686085204,0.0173454243949195,0.0281223443087783,0.01873200019497,3
2019-01-31 00:00:00,0.0099539363063654,0.0271170793811335,0.0260082032819355,0.0443104106994234,0.0268474074172144,5
2019-02-28 00:00:00,0.0020826124173605,0.0239181307408284,0.0275810913781424,0.0437993211297305,0.0243452889165154,4
2019-03-29 00:00:00,0.0176263395936306,0.0298961442014418,0.0481672083960822,0.0496840492007608,0.0363434353479789,6
2019-04-30 00:00:00,0.0016693851010147,0.0214480090577398,0.0491466958030593,0.0533621068189025,0.0314065491951791,8
2019-05-31 00:00:00,0.0127514103496095,0.0323229831086779,0.0570142191854332,0.0692828156120861,0.0428428570639517,4
2019-06-28 00:00:00,0.0156692148219699,0.0303375933796707,0.0611407146475149,0.0795466506858046,0.04667354338374,9
2019-07-31 00:00:00,0.0124901457543593,0.0414680488532399,0.0638054649983907,0.0914731337845022,0.0523091983476231,6
