Date,VTV_1M,VTV_3M,VTV_6M,VTV_12M,VTV_avg,VTV_rank
2018-03-29 00:00:00,-0.0246175006335106,-0.0239754417317602,0.045919054906611,0.1085504029913975,0.0264691288831844,6
2018-04-30 00:00:00,0.0267561200390586,-0.0640133973755947,0.0313695987129389,0.1135204961207714,0.0269082043742935,4
2018-05-31 00:00:00,0.0060805914485189,-0.01459712541242,0.0023397622030092,0.1195865605626651,0.0283524472004433,3
2018-06-29 00:00:00,0.0020479939331068,0.0351149810356472,-0.0119290429110845,0.1020307705534591,0.0318161756527821,4
2018-07-31 00:00:00,0.0465183288031598,0.0550380747000878,-0.0124984968220711,0.1357694241746461,0.0562068327139556,2
2018-08-31 00:00:00,0.0189583885202504,0.0685425258786716,0.0529448766199158,0.1627570621222474,0.0758007132852713,3
2018-09-28 00:00:00,0.0062379180250016,0.0730104875925805,0.1106892305154458,0.1361336701875624,0.0815178265801476,2
2018-10-31 00:00:00,-0.0497831269260738,-0.025728797830232,0.0278932133729321,0.0601378109961951,0.0031297749032053,2
2018-11-30 00:00:00,0.032708950255575,-0.0125812773197625,0.0550988960326328,0.0575675765500076,0.0331985363796132,1
2018-12-31 00:00:00,-0.0914290468316469,-0.108421622788051,-0.0433270507408046,-0.0547392434043915,-0.0744792409412235,7
2019-01-31 00:00:00,0.0695253198414065,0.0035242228087704,-0.0222952490376171,-0.0345150887604445,0.0040598012130288,8
2019-02-28 00:00:00,0.0286367273577714,-0.0004329176010332,-0.0130087482644005,0.0392473817836767,0.0136106108190035,6
2019-03-29 00:00:00,0.0056721800652861,0.106393290884132,-0.0135636651553375,0.0956242137010943,0.0485315048737937,5
2019-04-30 00:00:00,0.0336337889975191,0.0692645308739186,0.0730328573222334,0.1029631917676903,0.0697235922403403,2
2019-05-31 00:00:00,-0.0632807975400578,-0.0262834371550166,-0.0267049761934898,0.0269225051323038,-0.0223366764390651,8
2019-06-28 00:00:00,0.0711627024069239,0.0371260988523147,0.1474693575710346,0.0977528944920373,0.0883777633305776,3
2019-07-31 00:00:00,0.0082942871388969,0.0117009831205796,0.0817759771011097,0.0576575122887288,0.0398571899123287,7
2019-08-30 00:00:00,-0.0296853457568594,0.0479856578749604,0.0204409926968454,0.0071663327041775,0.0114769093797809,8
2019-09-30 00:00:00,0.0345821055032478,0.0121965654939275,0.0497754752424284,0.0355366722079548,0.0330227046118896,6
2019-10-31 00:00:00,0.0189928157714274,0.0229364993364717,0.0349058620486315,0.1104879942135736,0.0468307928425261,7
2019-11-29 00:00:00,0.0343768582975898,0.090472907725926,0.1427999675979743,0.1122815216693489,0.0949828138227097,1
2019-12-31 00:00:00,0.0264251160868846,0.0818752566358518,0.0950704190596698,0.2565597502534427,0.1149826355089622,2
2020-01-31 00:00:00,-0.0250313448227255,0.035134348060436,0.0588767063478834,0.1454673836390849,0.0536117733061697,6
2020-02-28 00:00:00,-0.097133125282373,-0.096471942262543,-0.014727131667077,0.0054128238389152,-0.0507298438432694,10
2020-03-31 00:00:00,-0.1482767094867028,-0.2502561771470776,-0.1888707092398495,-0.1484963633092103,-0.18397498979571,8
2020-04-30 00:00:00,0.1066696395535005,-0.1489790755957754,-0.1190790102310438,-0.0883297036864245,-0.0624295374899358,7
2020-05-29 00:00:00,0.0288149680297007,-0.030263386939114,-0.123815761484198,0.0013033193857148,-0.0309902152519741,7
2020-06-30 00:00:00,-0.0100920655582609,0.1270678849337414,-0.154987815335018,-0.0746521528283916,-0.0281660371969822,10
2020-07-31 00:00:00,0.037353134048351,0.0564737306726677,-0.1009187491141657,-0.047983806322873,-0.013768922679005,11
2020-08-31 00:00:00,0.0418158126161063,0.0698240912417791,0.0374475908117428,0.0221689635441664,0.0428141145534486,5
2020-09-30 00:00:00,-0.0221561504361487,0.0567860619543092,0.1910696316743019,-0.0338885344140684,0.0479527521945984,6
2020-10-30 00:00:00,-0.018180155198549,0.0002124573404489,0.0566981862717401,-0.0691323878624365,-0.0076004748621991,9
2020-11-30 00:00:00,0.1275703775591481,0.0825425420743874,0.1581300913052974,0.0147353321525678,0.0957445857728502,4
2020-12-31 00:00:00,0.035106372533205,0.1459362191001063,0.2110094242336115,0.023317719221527,0.1038424337721125,4
2021-01-29 00:00:00,-0.007901786984702,0.1579326708645092,0.1581786821601811,0.0412967383058824,0.0873765760864677,5
2021-02-26 00:00:00,0.049991606520225,0.0782649221019493,0.1672676498018861,0.2109790111194527,0.1266257973858783,4
2021-03-31 00:00:00,0.0666657517205162,0.1111401631824517,0.2732957574875725,0.5165839088831747,0.2419213953184288,1
2021-04-30 00:00:00,0.0343829727345477,0.158498674868283,0.3414634647832262,0.4175220101862391,0.237966780643074,2
2021-05-28 00:00:00,0.0291954787053747,0.135553456671978,0.2244274595010089,0.4180462854686193,0.2018056700867452,2
2021-06-30 00:00:00,-0.0134189999003188,0.0513474060492167,0.168194328318973,0.4146943409305301,0.1552042688496002,3
2021-07-30 00:00:00,0.0101121086506765,0.0266784868290053,0.1894056665071766,0.3775442873891326,0.1509351373439977,3
2021-08-31 00:00:00,0.0208856904385341,0.0173712040260438,0.1564351729323037,0.3498693664569279,0.1361403584634524,3
2021-09-30 00:00:00,-0.0394233909209728,-0.0094447579679276,0.0414176842588736,0.3260327191393557,0.0796455636273322,3
2021-10-29 00:00:00,0.0544434015459225,0.034028232987606,0.0616145415821849,0.4241171212150927,0.1435508243327015,4
2021-11-30 00:00:00,-0.030405013693701,-0.0179227705961183,-0.0008629066748112,0.2245947996897257,0.0438510271812737,4
2021-12-31 00:00:00,0.0695499812207238,0.0934897564008938,0.0831620103112795,0.2653437170962147,0.127886366257278,3
2022-01-31 00:00:00,-0.0107402721437257,0.0258923117588132,0.0608016143635357,0.261723451163949,0.084419276285643,2
2022-02-28 00:00:00,-0.0115440934006749,0.0458483484489593,0.0271038484213801,0.1877790165686126,0.0622967800095692,3
2022-03-31 00:00:00,0.0328214598710583,0.0099337450466208,0.1043522048520722,0.150091915783227,0.0742998313882445,3
2022-04-29 00:00:00,-0.0479090694984678,-0.0280118233964598,-0.0028448025019601,0.0585944578781745,-0.0050428093796783,5
2022-05-31 00:00:00,0.0240938238741887,0.0070323642083434,0.053203134941947,0.0522943189268731,0.0341559104878381,2
2022-06-30 00:00:00,-0.0788591268244442,-0.1018596075659337,-0.0929377098914214,-0.0175045863684391,-0.0727902576625596,5
2022-07-29 00:00:00,0.050576203275797,-0.0089550343736861,-0.0367160109287613,0.021853210697317,0.0066895921676666,3
2022-08-31 00:00:00,-0.0267773357119621,-0.0581845145522728,-0.0515613250415466,-0.0258549869584985,-0.04059454056607,3
2022-09-30 00:00:00,-0.0781171368478038,-0.0574258709284833,-0.1534361018175093,-0.0650952924940013,-0.0885186005219494,5
2022-10-31 00:00:00,0.1173467949817184,0.0024805234183122,-0.0064967241278496,-0.0093230447327563,0.0260018873848561,1
2022-11-30 00:00:00,0.0599406246097335,0.0918054738567182,0.0282793023748504,0.0829869848571114,0.0657530964246034,1
2022-12-30 00:00:00,-0.0330205282438395,0.1452143461703077,0.0794494149416846,-0.0208721416266296,0.0426927728103808,1
2023-01-31 00:00:00,0.0278549889851664,0.0534905406765817,0.0561037486337003,0.0173278318569609,0.0386942775381023,4
2023-02-28 00:00:00,-0.0323676700002338,-0.0382560278950242,0.0500373331929164,-0.0041039830496035,-0.0061725869379863,2
2023-03-31 00:00:00,-0.0046180814831356,-0.0100073599935947,0.1337537739383525,-0.0402049855556375,0.0197308367264961,5
2023-04-28 00:00:00,0.0177394608458101,-0.0197502697571867,0.0326838183115749,0.0259747564327104,0.0141619414582271,5
2023-05-31 00:00:00,-0.04119232631403,-0.0286899947982941,-0.065848457452007,-0.0394313035163588,-0.0437905205201725,8
2023-06-29 00:00:00,0.045484821768132955,0.020201240126006992,0.009991719050155279,0.09023497022463611,0.041478187792232835,2
